OG	BFHOLO	BFnonHOLO	nonBFHOLO	nonBFnonHOLO	coreBFHOLO	coreBFnonHOLO	corenonBFHOLO	corenonBFnonHOLO	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL0	1	0	1	1	no	no	no	no	670	47.86	14
ORTHOMCL1	1	1	1	1	yes	yes	yes	yes	415	20.75	20
ORTHOMCL2	1	1	1	1	yes	no	yes	no	412	22.89	18
ORTHOMCL3	1	1	1	1	yes	yes	yes	yes	401	20.05	20
ORTHOMCL4	1	1	1	1	no	no	no	no	391	24.44	16
ORTHOMCL5	1	1	1	1	yes	yes	yes	yes	383	19.15	20
ORTHOMCL6	1	1	1	1	yes	yes	yes	no	371	19.53	19
ORTHOMCL7	1	1	1	1	no	no	yes	yes	319	17.72	18
ORTHOMCL8	1	1	1	1	yes	no	yes	no	309	17.17	18
ORTHOMCL9	1	1	1	1	yes	yes	yes	yes	301	15.05	20
ORTHOMCL10	1	1	1	1	no	yes	yes	yes	269	14.16	19
ORTHOMCL11	1	1	1	1	yes	yes	yes	yes	265	13.25	20
ORTHOMCL12	1	0	1	0	no	no	yes	no	263	18.79	14
ORTHOMCL13	1	1	1	1	yes	yes	yes	yes	258	12.90	20
ORTHOMCL14	1	0	1	0	yes	no	yes	no	258	17.20	15
ORTHOMCL15	1	1	1	1	yes	yes	yes	yes	256	12.80	20
ORTHOMCL16	1	1	1	1	yes	yes	yes	yes	254	12.70	20
ORTHOMCL17	1	1	1	1	yes	yes	yes	yes	248	12.40	20
ORTHOMCL18	1	1	1	1	yes	yes	yes	yes	244	12.20	20
ORTHOMCL19	1	1	1	1	yes	yes	yes	yes	243	12.15	20
ORTHOMCL20	0	1	1	1	no	no	yes	yes	238	14.00	17
ORTHOMCL21	1	1	1	1	yes	yes	yes	no	237	12.47	19
ORTHOMCL22	1	1	1	1	yes	yes	yes	yes	237	11.85	20
ORTHOMCL23	1	1	1	1	yes	yes	yes	yes	236	11.80	20
ORTHOMCL24	1	0	1	0	yes	no	yes	no	236	16.86	14
ORTHOMCL25	1	1	1	1	yes	yes	yes	yes	230	11.50	20
ORTHOMCL26	1	0	1	1	yes	no	yes	no	228	13.41	17
ORTHOMCL27	0	0	0	0	no	no	no	no	222	222.00	1
ORTHOMCL28	1	1	1	1	yes	yes	yes	yes	220	11.00	20
ORTHOMCL29	1	1	1	1	yes	yes	yes	yes	218	10.90	20
ORTHOMCL30	0	0	0	1	no	no	no	no	215	19.55	11
ORTHOMCL31	1	1	1	1	yes	yes	yes	no	214	11.26	19
ORTHOMCL32	1	1	1	1	yes	yes	yes	yes	206	10.30	20
ORTHOMCL33	0	0	0	1	no	no	no	yes	205	14.64	14
ORTHOMCL34	0	1	1	1	no	yes	no	yes	204	12.00	17
ORTHOMCL35	1	1	1	1	yes	yes	yes	yes	202	10.10	20
ORTHOMCL36	1	0	1	1	yes	no	yes	no	199	13.27	15
ORTHOMCL37	0	1	1	1	no	no	yes	yes	199	11.71	17
ORTHOMCL38	1	1	1	1	yes	yes	yes	yes	195	9.75	20
ORTHOMCL39	1	1	1	1	yes	yes	yes	yes	195	9.75	20
ORTHOMCL40	1	1	1	1	yes	no	yes	yes	193	10.16	19
ORTHOMCL41	1	1	1	1	yes	yes	yes	yes	192	9.60	20
ORTHOMCL42	1	0	1	1	yes	no	yes	no	190	11.88	16
ORTHOMCL43	1	1	1	0	yes	yes	yes	no	188	10.44	18
ORTHOMCL44	1	1	1	1	no	yes	yes	no	187	10.39	18
ORTHOMCL45	1	1	1	1	yes	yes	yes	no	187	9.84	19
ORTHOMCL46	1	1	1	1	yes	no	yes	no	186	10.33	18
ORTHOMCL47	1	1	1	1	yes	no	yes	no	180	10.00	18
ORTHOMCL48	1	0	1	0	no	no	yes	no	180	12.00	15
ORTHOMCL49	1	1	0	1	yes	yes	no	no	179	11.19	16
ORTHOMCL50	1	1	1	1	yes	yes	yes	yes	177	8.85	20
ORTHOMCL51	1	1	1	1	yes	no	yes	yes	176	9.26	19
ORTHOMCL52	1	1	1	1	yes	yes	no	no	175	9.72	18
ORTHOMCL53	1	1	1	1	yes	yes	yes	yes	175	8.75	20
ORTHOMCL54	0	0	0	1	no	no	no	no	173	19.22	9
ORTHOMCL55	1	1	1	1	yes	yes	yes	yes	169	8.45	20
ORTHOMCL56	1	1	1	1	yes	yes	yes	yes	168	8.40	20
ORTHOMCL57	1	1	1	1	yes	no	yes	yes	167	8.79	19
ORTHOMCL58	1	0	1	1	yes	no	yes	no	167	10.44	16
ORTHOMCL59	1	0	1	1	yes	no	yes	yes	165	9.17	18
ORTHOMCL60	1	1	1	1	yes	yes	yes	no	164	8.63	19
ORTHOMCL61	1	1	1	1	yes	yes	yes	yes	163	8.15	20
ORTHOMCL62	1	1	1	1	yes	yes	yes	yes	162	8.10	20
ORTHOMCL63	1	1	1	1	yes	yes	yes	yes	160	8.00	20
ORTHOMCL64	1	1	1	1	yes	yes	yes	yes	159	7.95	20
ORTHOMCL65	1	1	1	1	yes	no	yes	yes	157	8.26	19
ORTHOMCL66	1	1	1	1	yes	yes	yes	yes	157	7.85	20
ORTHOMCL67	1	1	1	1	yes	yes	yes	yes	154	7.70	20
ORTHOMCL68	1	1	1	1	no	no	yes	yes	153	8.50	18
ORTHOMCL69	1	1	1	0	yes	no	yes	no	151	8.88	17
ORTHOMCL70	1	0	1	0	no	no	yes	no	151	10.07	15
ORTHOMCL71	1	0	1	0	yes	no	yes	no	151	9.44	16
ORTHOMCL72	1	1	1	1	yes	yes	yes	yes	150	7.50	20
ORTHOMCL73	1	0	1	1	yes	no	yes	no	150	8.82	17
ORTHOMCL74	1	1	1	1	yes	no	yes	no	148	8.22	18
ORTHOMCL75	1	1	1	1	yes	no	yes	yes	147	7.74	19
ORTHOMCL76	1	1	1	1	yes	yes	yes	yes	147	7.35	20
ORTHOMCL77	1	0	1	0	no	no	yes	no	146	11.23	13
ORTHOMCL78	1	0	1	1	yes	no	yes	yes	146	8.11	18
ORTHOMCL79	1	0	1	1	yes	no	yes	no	145	8.53	17
ORTHOMCL80	1	1	1	1	yes	yes	yes	yes	143	7.15	20
ORTHOMCL81	0	0	0	0	no	no	no	no	143	143.00	1
ORTHOMCL82	1	1	1	1	yes	yes	yes	yes	143	7.15	20
ORTHOMCL83	1	1	1	1	yes	yes	yes	yes	141	7.05	20
ORTHOMCL84	1	1	1	1	yes	yes	yes	yes	141	7.05	20
ORTHOMCL85	1	1	1	1	yes	yes	yes	yes	141	7.05	20
ORTHOMCL86	1	0	1	1	no	no	yes	yes	141	8.29	17
ORTHOMCL87	1	1	1	1	no	yes	yes	yes	140	7.37	19
ORTHOMCL88	1	1	1	1	yes	yes	yes	yes	139	6.95	20
ORTHOMCL89	1	0	1	0	yes	no	yes	no	139	8.69	16
ORTHOMCL90	1	1	1	1	yes	yes	yes	yes	138	6.90	20
ORTHOMCL91	1	1	1	1	yes	yes	yes	yes	138	6.90	20
ORTHOMCL92	1	1	1	1	yes	yes	yes	yes	137	6.85	20
ORTHOMCL93	1	0	1	1	yes	no	yes	no	136	8.00	17
ORTHOMCL94	0	0	0	0	no	no	no	no	136	27.20	5
ORTHOMCL95	1	1	1	1	yes	yes	yes	yes	135	6.75	20
ORTHOMCL96	1	0	1	0	yes	no	yes	no	134	8.38	16
