OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL0	1	1	1	1	1	yes	yes	yes	yes	yes	1797	35.24	51
ORTHOMCL1	1	1	1	1	1	no	no	yes	no	yes	1122	23.87	47
ORTHOMCL2	1	1	1	1	1	yes	yes	yes	yes	yes	850	16.67	51
ORTHOMCL3	1	1	1	1	1	no	no	yes	yes	yes	823	16.80	49
ORTHOMCL4	1	1	1	1	1	yes	yes	yes	yes	yes	813	15.94	51
ORTHOMCL5	1	1	1	1	1	yes	yes	yes	yes	yes	804	15.76	51
ORTHOMCL6	1	1	1	1	1	yes	yes	yes	no	yes	752	15.04	50
ORTHOMCL7	1	1	1	1	1	yes	yes	yes	yes	yes	746	14.63	51
ORTHOMCL8	1	1	1	1	1	yes	no	yes	yes	yes	710	15.78	45
ORTHOMCL9	1	1	1	1	1	yes	yes	yes	yes	yes	688	13.49	51
ORTHOMCL10	1	1	1	1	1	yes	no	no	yes	yes	634	14.41	44
ORTHOMCL11	1	1	1	1	1	yes	yes	yes	no	yes	625	13.02	48
ORTHOMCL12	1	1	1	1	1	yes	yes	yes	yes	yes	599	11.75	51
ORTHOMCL13	1	1	1	1	1	yes	yes	yes	yes	yes	597	11.71	51
ORTHOMCL14	1	1	1	1	1	no	yes	yes	yes	yes	558	11.87	47
ORTHOMCL15	1	1	1	1	1	yes	yes	yes	no	yes	557	11.85	47
ORTHOMCL16	1	1	1	1	1	yes	no	no	no	yes	553	13.17	42
ORTHOMCL17	1	1	1	1	1	yes	yes	no	no	yes	522	10.65	49
ORTHOMCL18	1	1	1	1	1	yes	no	yes	no	yes	522	13.38	39
ORTHOMCL19	1	1	1	1	1	yes	yes	yes	yes	yes	512	10.04	51
ORTHOMCL20	1	1	1	1	1	yes	yes	yes	yes	yes	503	9.86	51
ORTHOMCL21	1	1	1	1	1	yes	yes	yes	yes	yes	494	9.69	51
ORTHOMCL22	1	1	1	1	1	no	yes	yes	yes	yes	487	9.74	50
ORTHOMCL23	1	1	1	1	1	yes	no	no	no	yes	479	10.19	47
ORTHOMCL24	1	1	1	1	1	yes	yes	yes	yes	yes	473	9.27	51
ORTHOMCL25	1	1	1	1	1	yes	yes	yes	yes	yes	473	9.27	51
ORTHOMCL26	1	1	1	1	1	yes	yes	yes	yes	yes	472	9.25	51
ORTHOMCL27	1	1	1	1	1	yes	yes	yes	yes	yes	470	9.22	51
ORTHOMCL28	1	1	1	1	1	yes	yes	yes	yes	yes	464	9.10	51
ORTHOMCL29	1	1	1	1	1	yes	yes	no	yes	yes	464	9.67	48
ORTHOMCL30	1	1	1	1	1	no	no	no	yes	yes	461	12.13	38
ORTHOMCL31	1	1	1	1	1	no	no	yes	yes	yes	452	9.83	46
ORTHOMCL32	1	1	1	1	1	yes	yes	yes	yes	yes	448	8.78	51
ORTHOMCL33	1	1	1	1	1	yes	yes	yes	yes	yes	448	8.78	51
ORTHOMCL34	1	1	1	1	1	yes	no	yes	yes	yes	443	8.86	50
ORTHOMCL35	1	1	1	1	1	yes	yes	yes	yes	yes	441	8.65	51
ORTHOMCL36	1	1	0	1	0	no	yes	no	yes	no	439	12.54	35
ORTHOMCL37	1	1	1	1	1	no	no	yes	yes	yes	437	11.21	39
ORTHOMCL38	1	1	1	1	0	no	no	yes	yes	no	429	9.33	46
ORTHOMCL39	1	1	1	1	1	yes	yes	yes	yes	yes	423	8.29	51
ORTHOMCL40	1	1	1	1	0	yes	no	yes	yes	no	420	10.24	41
ORTHOMCL41	1	1	1	1	1	yes	yes	yes	yes	yes	416	8.16	51
ORTHOMCL42	1	1	1	1	1	yes	no	yes	no	yes	410	8.37	49
ORTHOMCL43	1	1	1	1	1	yes	yes	yes	yes	yes	410	8.04	51
ORTHOMCL44	1	1	1	1	1	no	no	yes	no	yes	409	9.98	41
ORTHOMCL45	1	1	1	1	1	no	yes	no	yes	yes	408	12.00	34
ORTHOMCL46	1	1	1	1	1	yes	yes	yes	yes	yes	407	7.98	51
ORTHOMCL47	1	1	1	1	1	yes	yes	no	yes	yes	405	8.44	48
ORTHOMCL48	1	1	1	1	1	yes	no	no	yes	yes	400	8.33	48
ORTHOMCL49	1	1	1	1	1	yes	yes	yes	no	yes	399	7.98	50
ORTHOMCL50	1	1	1	1	1	yes	yes	yes	yes	yes	395	7.75	51
ORTHOMCL51	1	1	1	1	1	yes	no	yes	yes	yes	387	7.74	50
ORTHOMCL52	1	1	1	1	1	yes	no	yes	no	yes	384	8.17	47
ORTHOMCL53	1	1	1	1	1	yes	yes	yes	yes	yes	384	7.53	51
ORTHOMCL54	1	1	1	1	1	yes	yes	yes	yes	yes	382	7.49	51
ORTHOMCL55	1	1	1	1	1	yes	no	yes	yes	yes	379	7.58	50
ORTHOMCL56	1	1	1	1	1	yes	yes	yes	yes	yes	373	7.31	51
