OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL0	1	1	1	1	1	yes	yes	yes	yes	yes	817	16.02	51
ORTHOMCL1	1	1	1	1	1	yes	yes	yes	yes	yes	123	2.62	47
ORTHOMCL2	1	1	1	1	1	yes	yes	yes	yes	yes	130	2.55	51
ORTHOMCL3	1	1	1	1	1	yes	yes	yes	yes	yes	127	2.59	49
ORTHOMCL4	1	1	1	1	1	yes	yes	yes	yes	yes	130	2.55	51
ORTHOMCL5	1	1	1	1	1	yes	yes	yes	yes	yes	152	2.98	51
ORTHOMCL6	1	1	1	1	1	yes	yes	yes	yes	yes	59	1.18	50
ORTHOMCL7	1	1	1	1	1	yes	yes	yes	yes	yes	108	2.12	51
ORTHOMCL8	1	0	1	1	1	yes	no	yes	yes	yes	43	0.96	45
ORTHOMCL9	1	1	1	1	1	yes	yes	yes	yes	yes	75	1.47	51
ORTHOMCL10	1	1	0	1	1	yes	yes	no	yes	yes	282	6.41	44
ORTHOMCL11	1	1	1	1	1	yes	yes	yes	yes	yes	52	1.08	48
ORTHOMCL12	1	1	1	1	1	yes	yes	yes	yes	yes	88	1.73	51
ORTHOMCL13	1	1	1	1	1	yes	yes	yes	yes	yes	66	1.29	51
ORTHOMCL14	1	1	1	1	1	yes	yes	yes	yes	yes	75	1.60	47
ORTHOMCL15	1	1	1	1	1	yes	yes	yes	yes	yes	69	1.47	47
ORTHOMCL16	1	1	1	0	1	yes	yes	yes	no	yes	71	1.69	42
ORTHOMCL17	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.27	49
ORTHOMCL18	1	1	1	0	1	yes	yes	yes	no	yes	53	1.36	39
ORTHOMCL19	1	1	1	1	1	yes	yes	yes	yes	yes	63	1.24	51
ORTHOMCL20	1	1	1	1	1	yes	yes	yes	yes	yes	56	1.10	51
ORTHOMCL21	1	1	1	1	1	yes	yes	yes	yes	yes	53	1.04	51
ORTHOMCL22	1	1	1	1	1	yes	yes	yes	yes	yes	59	1.18	50
ORTHOMCL23	1	1	1	1	1	yes	yes	yes	yes	yes	55	1.17	47
ORTHOMCL24	1	1	1	1	1	yes	yes	yes	yes	yes	66	1.29	51
ORTHOMCL25	1	1	1	1	1	yes	yes	yes	yes	yes	37	0.73	51
ORTHOMCL26	1	1	1	1	1	yes	yes	yes	yes	yes	40	0.78	51
ORTHOMCL27	1	1	1	1	1	yes	yes	yes	yes	yes	50	0.98	51
ORTHOMCL28	1	1	1	1	1	yes	yes	yes	yes	yes	54	1.06	51
ORTHOMCL29	1	1	1	1	1	yes	yes	yes	yes	yes	58	1.21	48
ORTHOMCL30	1	0	1	1	1	yes	no	yes	yes	yes	67	1.76	38
ORTHOMCL31	1	1	1	1	1	yes	yes	yes	yes	yes	55	1.20	46
ORTHOMCL32	1	1	1	1	1	yes	yes	yes	yes	yes	43	0.84	51
ORTHOMCL33	1	1	1	1	1	yes	yes	yes	yes	yes	53	1.04	51
ORTHOMCL34	1	1	1	1	1	yes	yes	yes	yes	yes	70	1.40	50
ORTHOMCL35	1	1	1	1	1	yes	yes	yes	yes	yes	47	0.92	51
ORTHOMCL36	1	1	0	1	0	yes	yes	no	yes	no	28	0.80	35
ORTHOMCL37	1	0	1	1	1	yes	no	yes	yes	yes	33	0.85	39
ORTHOMCL38	1	1	1	1	0	yes	yes	yes	yes	no	81	1.76	46
ORTHOMCL39	1	1	1	1	1	yes	yes	yes	yes	yes	51	1.00	51
ORTHOMCL40	1	0	1	1	0	yes	no	yes	yes	no	77	1.88	41
ORTHOMCL41	1	1	1	1	1	yes	yes	yes	yes	yes	33	0.65	51
ORTHOMCL42	1	1	1	1	1	yes	yes	yes	yes	yes	52	1.06	49
ORTHOMCL43	1	1	1	1	1	yes	yes	yes	yes	yes	56	1.10	51
ORTHOMCL44	0	1	1	1	1	no	yes	yes	yes	yes	30	0.73	41
ORTHOMCL45	0	1	0	1	1	no	yes	no	yes	yes	105	3.09	34
ORTHOMCL46	1	1	1	1	1	yes	yes	yes	yes	yes	39	0.76	51
ORTHOMCL47	1	1	1	1	1	yes	yes	yes	yes	yes	80	1.67	48
ORTHOMCL48	1	1	1	1	1	yes	yes	yes	yes	yes	40	0.83	48
ORTHOMCL49	1	1	1	1	1	yes	yes	yes	yes	yes	35	0.70	50
ORTHOMCL50	1	1	1	1	1	yes	yes	yes	yes	yes	30	0.59	51
ORTHOMCL51	1	1	1	1	1	yes	yes	yes	yes	yes	58	1.16	50
ORTHOMCL52	1	1	1	1	1	yes	yes	yes	yes	yes	40	0.85	47
ORTHOMCL53	1	1	1	1	1	yes	yes	yes	yes	yes	39	0.76	51
ORTHOMCL54	1	1	1	1	1	yes	yes	yes	yes	yes	41	0.80	51
ORTHOMCL55	1	1	1	1	1	yes	yes	yes	yes	yes	36	0.72	50
ORTHOMCL56	1	1	1	1	1	yes	yes	yes	yes	yes	35	0.69	51
ORTHOMCL57	1	1	1	1	1	yes	yes	yes	yes	yes	32	0.68	47
ORTHOMCL58	1	1	1	1	1	yes	yes	yes	yes	yes	38	0.76	50
ORTHOMCL59	1	1	1	1	1	yes	yes	yes	yes	yes	39	0.80	49
ORTHOMCL60	1	1	1	1	1	yes	yes	yes	yes	yes	45	0.88	51
ORTHOMCL61	1	1	1	1	1	yes	yes	yes	yes	yes	38	0.75	51
ORTHOMCL62	1	1	1	1	1	yes	yes	yes	yes	yes	38	0.75	51
ORTHOMCL63	1	1	1	1	1	yes	yes	yes	yes	yes	38	0.75	51
ORTHOMCL64	1	1	1	1	1	yes	yes	yes	yes	yes	30	0.62	48
ORTHOMCL65	0	0	1	1	0	no	no	yes	yes	no	5	0.18	28
ORTHOMCL66	1	1	1	1	1	yes	yes	yes	yes	yes	38	0.75	51
ORTHOMCL67	1	1	1	1	0	yes	yes	yes	yes	no	28	0.61	46
ORTHOMCL68	1	1	1	1	1	yes	yes	yes	yes	yes	40	0.78	51
ORTHOMCL69	1	1	1	1	1	yes	yes	yes	yes	yes	31	0.72	43
ORTHOMCL70	1	1	1	1	0	yes	yes	yes	yes	no	6	0.12	49
ORTHOMCL71	1	1	1	1	1	yes	yes	yes	yes	yes	46	0.92	50
ORTHOMCL72	1	1	1	1	1	yes	yes	yes	yes	yes	52	1.02	51
ORTHOMCL73	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.27	48
ORTHOMCL74	1	1	1	1	1	yes	yes	yes	yes	yes	47	0.92	51
ORTHOMCL75	1	1	1	1	1	yes	yes	yes	yes	yes	38	0.76	50
ORTHOMCL76	1	1	1	1	1	yes	yes	yes	yes	yes	46	0.90	51
ORTHOMCL77	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.56	48
ORTHOMCL78	0	0	1	0	0	no	no	yes	no	no	50	4.55	11
ORTHOMCL79	1	1	1	1	1	yes	yes	yes	yes	yes	108	2.92	37
ORTHOMCL80	1	1	1	1	1	yes	yes	yes	yes	yes	41	0.89	46
ORTHOMCL81	0	1	0	0	0	no	yes	no	no	no	4	0.57	7
ORTHOMCL82	0	0	1	1	0	no	no	yes	yes	no	34	1.79	19
ORTHOMCL83	1	1	1	1	1	yes	yes	yes	yes	yes	32	0.64	50
ORTHOMCL84	1	1	1	1	1	yes	yes	yes	yes	yes	39	0.80	49
ORTHOMCL85	1	1	1	1	1	yes	yes	yes	yes	yes	32	0.63	51
ORTHOMCL86	1	1	1	1	1	yes	yes	yes	yes	yes	51	1.02	50
ORTHOMCL87	1	1	1	1	1	yes	yes	yes	yes	yes	43	0.84	51
ORTHOMCL88	1	0	1	1	1	yes	no	yes	yes	yes	27	0.54	50
ORTHOMCL89	1	1	1	1	1	yes	yes	yes	yes	yes	35	0.69	51
ORTHOMCL90	1	1	1	1	1	yes	yes	yes	yes	yes	46	0.92	50
ORTHOMCL91	1	1	1	1	1	yes	yes	yes	yes	yes	86	1.76	49
ORTHOMCL92	1	1	1	1	1	yes	yes	yes	yes	yes	38	0.75	51
ORTHOMCL93	0	0	1	0	0	no	no	yes	no	no	62	8.86	7
ORTHOMCL94	1	1	1	1	0	yes	yes	yes	yes	no	33	0.89	37
ORTHOMCL95	1	1	1	1	1	yes	yes	yes	yes	yes	51	1.13	45
ORTHOMCL96	1	1	1	1	1	yes	yes	yes	yes	yes	35	0.69	51
ORTHOMCL97	1	0	1	1	1	yes	no	yes	yes	yes	38	1.00	38
ORTHOMCL98	1	1	1	1	1	yes	yes	yes	yes	yes	41	0.95	43
ORTHOMCL99	1	1	1	1	1	yes	yes	yes	yes	yes	29	0.58	50
ORTHOMCL100	1	1	1	1	1	yes	yes	yes	yes	yes	29	0.58	50
ORTHOMCL101	1	1	1	1	1	yes	yes	yes	yes	yes	57	1.16	49
ORTHOMCL102	1	1	1	1	1	yes	yes	yes	yes	yes	34	0.71	48
ORTHOMCL103	1	1	1	1	1	yes	yes	yes	yes	yes	24	0.47	51
ORTHOMCL104	1	1	1	1	1	yes	yes	yes	yes	yes	30	0.75	40
ORTHOMCL105	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.30	50
ORTHOMCL106	1	1	1	1	1	yes	yes	yes	yes	yes	49	0.96	51
ORTHOMCL107	1	1	1	1	1	yes	yes	yes	yes	yes	38	0.75	51
ORTHOMCL108	1	1	1	1	1	yes	yes	yes	yes	yes	28	0.56	50
ORTHOMCL109	1	1	1	1	1	yes	yes	yes	yes	yes	33	0.65	51
ORTHOMCL110	1	1	1	1	1	yes	yes	yes	yes	yes	35	0.78	45
ORTHOMCL111	1	1	1	1	1	yes	yes	yes	yes	yes	43	0.84	51
ORTHOMCL112	1	1	1	1	1	yes	yes	yes	yes	yes	25	0.61	41
ORTHOMCL113	1	0	1	1	1	yes	no	yes	yes	yes	77	1.97	39
ORTHOMCL114	1	1	1	1	1	yes	yes	yes	yes	yes	43	1.00	43
ORTHOMCL115	0	0	1	1	0	no	no	yes	yes	no	71	3.94	18
ORTHOMCL116	1	1	1	1	1	yes	yes	yes	yes	yes	44	0.86	51
ORTHOMCL117	1	1	1	1	1	yes	yes	yes	yes	yes	26	0.57	46
