Group	Taxon	Acromyrmex_echinatior	Aedes_aegypti	Aedes_albopictus	Aethina_tumida	Agrilus_planipennis	Amyelois_transitella	Anopheles_gambiae_str._PEST	Anoplophora_glabripennis	Apis_mellifera	Athalia_rosae	Atta_cephalotes	Bactrocera_oleae	Bicyclus_anynana	Bombus_impatiens	Bombyx_mori	Cephus_cinctus	Ceratitis_capitata	Ctenocephalides_felis	Culex_quinquefasciatus	Dendroctonus_ponderosae	Drosophila_melanogaster	Glossina_morsitans_Yale	Harpegnathos_saltator	Helicoverpa_armigera	Heliothis_virescens	Hyposmocoma_kahamanoa	Leptinotarsa_decemlineata	Linepithema_humile	Lucilia_cuprina	Lutzomyia_longipalpis_Jacobina	Megachile_rotundata	Musca_domestica	Nasonia_vitripennis	Nicrophorus_vespilloides	Onthophagus_taurus	Operophtera_brumata	Oryctes_borbonicus	Papilio_machaon	Papilio_polytes	Papilio_xuthus	Phlebotomus_papatasi_Israel	Pieris_rapae	Plutella_xylostella	Pogonomyrmex_barbatus	Rhagoletis_zephyria	Solenopsis_invicta	Spodoptera_litura	Stomoxys_calcitrans	Tribolium_castaneum	Trichogramma_pretiosum	Zeugodacus_cucurbitae
Hymenoptera	Acromyrmex_echinatior	52427	57839	57814	57159	57179	57678	57979	57088	54388	54740	53224	58124	57631	54366	57653	54472	58115	57432	58023	57247	58070	58383	53629	57711	58050	57736	57329	53452	58088	58642	54326	58098	55345	57105	57057	58363	58343	57727	57831	57684	58501	57636	57870	53389	57697	53195	57589	58104	57071	55888	58124
Diptera	Aedes_aegypti	57839	51506	51893	57336	57436	57596	54646	57315	57824	57631	57896	56910	57613	57840	57617	57637	56864	57184	53422	57413	56800	57344	57781	57650	57994	57687	57472	57789	56869	57352	57804	56877	57840	57292	57266	58309	58518	57660	57789	57653	57149	57596	57840	57818	56661	57762	57541	56881	57303	57857	56894
Diptera	Aedes_albopictus	57814	51893	50841	57319	57412	57566	54545	57260	57820	57611	57877	56871	57582	57818	57582	57621	56826	57141	53248	57395	56764	57311	57751	57622	57961	57644	57453	57751	56824	57301	57772	56831	57798	57271	57211	58281	58506	57622	57771	57625	57085	57574	57808	57799	56560	57708	57509	56839	57287	57828	56849
Coleoptera	Aethina_tumida	57159	57336	57319	52407	55288	57207	57515	54286	57153	56972	57255	57774	57164	57143	57162	56939	57735	56936	57566	54789	57654	58047	57113	57223	57621	57257	54750	57115	57747	58255	57138	57735	57220	54872	54955	57996	56851	57247	57385	57223	58148	57141	57457	57165	57347	57098	57134	57738	54411	57339	57745
Coleoptera	Agrilus_planipennis	57179	57436	57412	55288	52599	57229	57612	55134	57176	56978	57293	57822	57205	57175	57201	56953	57798	56978	57669	55485	57746	58121	57126	57250	57655	57283	55453	57142	57799	58369	57137	57809	57229	55194	55144	58003	57014	57289	57440	57261	58190	57194	57486	57185	57374	57074	57153	57817	55127	57351	57819
Lepidoptera	Amyelois_transitella	57678	57596	57566	57207	57229	51433	57789	57095	57656	57483	57760	57940	53207	57646	53170	57490	57928	57303	57777	57304	57868	58223	57612	53124	53914	53296	57278	57640	57899	58483	57631	57948	57689	57177	57055	55072	58385	53399	53664	53273	58351	53292	54019	57684	57496	57569	52979	57935	57137	57773	57934
Diptera	Anopheles_gambiae_str._PEST	57979	54646	54545	57515	57612	57789	53320	57529	57967	57779	58026	57052	57790	57963	57790	57808	57015	57388	54899	57582	56936	57461	57925	57829	58140	57881	57660	57937	57018	57533	57962	57044	57975	57499	57471	58452	58609	57822	57950	57821	57356	57787	58009	57955	56850	57924	57743	57062	57478	58012	57047
Coleoptera	Anoplophora_glabripennis	57088	57315	57260	54286	55134	57095	57529	51914	57113	56896	57206	57764	57057	57115	57086	56845	57734	56844	57551	54574	57675	58051	57014	57118	57547	57144	54080	57010	57698	58272	57054	57715	57117	54827	54773	57921	56782	57131	57301	57122	58119	57059	57370	57111	57260	56950	56997	57744	54195	57249	57739
Hymenoptera	Apis_mellifera	54388	57824	57820	57153	57176	57656	57967	57113	52648	54644	54583	58127	57639	53340	57643	54325	58119	57398	58005	57249	58058	58391	54295	57680	58042	57751	57335	54358	58102	58657	53480	58113	55317	57073	57074	58358	58344	57713	57821	57672	58537	57618	57883	54410	57734	54295	57594	58118	57062	55896	58131
Hymenoptera	Athalia_rosae	54740	57631	57611	56972	56978	57483	57779	56896	54644	52532	54917	57962	57449	54631	57471	53888	57946	57213	57838	57042	57880	58246	54656	57512	57903	57569	57129	54687	57907	58532	54605	57925	55187	56870	56813	58235	58205	57525	57660	57503	58397	57440	57709	54744	57534	54612	57389	57940	56857	55732	57958
