spleen-down	liver-down
MSTRG.44068	MSTRG.44068
MSTRG.29994	MSTRG.11858
MSTRG.18928	MSTRG.4447
MSTRG.32144	MSTRG.45035
MSTRG.37305	MSTRG.55616
MSTRG.11188	MSTRG.55757
MSTRG.50066	MSTRG.2550
MSTRG.23799	MSTRG.7626
MSTRG.23372	MSTRG.14402
MSTRG.48566	MSTRG.4467
MSTRG.54131	MSTRG.54680
MSTRG.27411	MSTRG.50800
MSTRG.15654	MSTRG.23956
MSTRG.38537	MSTRG.31451
MSTRG.23015	MSTRG.20821
MSTRG.46082	MSTRG.42594
MSTRG.2487	MSTRG.6845
MSTRG.34552	MSTRG.25728
MSTRG.16883	MSTRG.20821
MSTRG.20066	MSTRG.55811
MSTRG.35954	MSTRG.22878
MSTRG.20512	MSTRG.36960
MSTRG.20650	MSTRG.3433
MSTRG.44709	MSTRG.33296
MSTRG.1289	MSTRG.32334
MSTRG.8324	MSTRG.16609
MSTRG.44400	MSTRG.28492
MSTRG.11188	MSTRG.20821
MSTRG.4011	MSTRG.41257
MSTRG.9417	MSTRG.20658
MSTRG.25661	MSTRG.54883
MSTRG.11048	MSTRG.50921
MSTRG.618	MSTRG.14805
MSTRG.34329	MSTRG.28270
MSTRG.42087	MSTRG.8516
MSTRG.40209	MSTRG.22604
MSTRG.54501	MSTRG.11990
MSTRG.39337	MSTRG.29994
MSTRG.36714	MSTRG.33302
MSTRG.50768	MSTRG.13067
MSTRG.6887	MSTRG.32765
MSTRG.42488	MSTRG.8409
MSTRG.47692	MSTRG.43604
MSTRG.38576	MSTRG.33841
MSTRG.37155	MSTRG.42402
MSTRG.22787	MSTRG.12143
MSTRG.31120	MSTRG.50921
MSTRG.14717	MSTRG.2253
MSTRG.41110	MSTRG.30513
MSTRG.25404	MSTRG.34721
MSTRG.19869	MSTRG.43538
MSTRG.7771	MSTRG.35991
MSTRG.12560	MSTRG.28421
MSTRG.25721	MSTRG.20817
MSTRG.3407	MSTRG.28555
MSTRG.45116	MSTRG.29612
MSTRG.38746	MSTRG.53046
MSTRG.34301	MSTRG.15266
MSTRG.44960	MSTRG.23859
MSTRG.34961	MSTRG.28527
MSTRG.10483	MSTRG.46161
MSTRG.48979	MSTRG.38269
MSTRG.21573	MSTRG.8552
MSTRG.12291	MSTRG.14371
MSTRG.29874	MSTRG.16468
MSTRG.25789	MSTRG.9635
MSTRG.32647	MSTRG.37050
MSTRG.40208	MSTRG.55169
MSTRG.584	MSTRG.8186
MSTRG.22789	MSTRG.54452
MSTRG.42744	MSTRG.43845
MSTRG.2744	MSTRG.46471
MSTRG.21581	MSTRG.16956
MSTRG.11247	MSTRG.38757
MSTRG.21570	MSTRG.16318
MSTRG.37847	MSTRG.20501
MSTRG.5359	MSTRG.3940
MSTRG.19651	MSTRG.416
MSTRG.51302	MSTRG.8918
MSTRG.32892	MSTRG.54464
MSTRG.6625	MSTRG.33326
MSTRG.45104	MSTRG.50953
MSTRG.23424	MSTRG.15516
MSTRG.16368	MSTRG.21707
MSTRG.29922	MSTRG.9398
MSTRG.16391	MSTRG.51226
MSTRG.38721	MSTRG.37541
MSTRG.35557	MSTRG.50759
MSTRG.25673	MSTRG.8777
MSTRG.31954	MSTRG.20768
MSTRG.14990	MSTRG.37134
MSTRG.16879	MSTRG.48649
MSTRG.47240	MSTRG.20050
MSTRG.10249	MSTRG.43808
MSTRG.27392	MSTRG.133
MSTRG.3654	MSTRG.27934
MSTRG.5982	MSTRG.35658
MSTRG.55935	MSTRG.50354
MSTRG.47263	MSTRG.25344
MSTRG.25512	MSTRG.3337
MSTRG.25670	MSTRG.42948
