spleen-up	liver-up
MSTRG.32921	MSTRG.39143
MSTRG.48156	MSTRG.34547
MSTRG.4654	MSTRG.24433
MSTRG.34832	MSTRG.29692
MSTRG.34105	MSTRG.4587
MSTRG.41655	MSTRG.26025
MSTRG.20139	MSTRG.24283
MSTRG.19430	MSTRG.54959
MSTRG.19429	MSTRG.45198
MSTRG.29532	MSTRG.19634
MSTRG.47435	MSTRG.54639
MSTRG.36219	MSTRG.4484
MSTRG.25717	MSTRG.6912
MSTRG.46406	MSTRG.1584
MSTRG.29337	MSTRG.54548
MSTRG.1118	MSTRG.33843
MSTRG.5497	MSTRG.53001
MSTRG.2743	MSTRG.55463
MSTRG.49871	MSTRG.50696
MSTRG.25236	MSTRG.19914
MSTRG.25627	MSTRG.3837
MSTRG.32416	MSTRG.16078
MSTRG.34312	MSTRG.1743
MSTRG.50964	MSTRG.35004
MSTRG.43377	MSTRG.19402
MSTRG.55951	MSTRG.16995
MSTRG.34309	MSTRG.8116
MSTRG.874	MSTRG.37034
MSTRG.29624	MSTRG.55510
MSTRG.27240	MSTRG.40008
MSTRG.2887	MSTRG.13058
MSTRG.19877	MSTRG.41801
MSTRG.24159	MSTRG.15452
MSTRG.12905	MSTRG.46009
MSTRG.41174	MSTRG.41073
MSTRG.51274	MSTRG.9806
MSTRG.7522	MSTRG.31025
MSTRG.26542	MSTRG.18190
MSTRG.38642	MSTRG.31310
MSTRG.7482	MSTRG.48186
MSTRG.1117	MSTRG.28833
MSTRG.55536	MSTRG.3232
MSTRG.806	MSTRG.6586
MSTRG.2305	MSTRG.18065
MSTRG.13128	MSTRG.43939
MSTRG.23524	MSTRG.39181
MSTRG.20523	MSTRG.14591
MSTRG.39551	MSTRG.37052
MSTRG.32953	MSTRG.34675
MSTRG.16855	MSTRG.29223
MSTRG.3715	MSTRG.5794
MSTRG.32700	MSTRG.17847
MSTRG.44538	MSTRG.31178
MSTRG.50959	MSTRG.45413
MSTRG.21920	MSTRG.2713
MSTRG.7287	MSTRG.27840
MSTRG.7586	MSTRG.25291
MSTRG.10932	MSTRG.37954
MSTRG.511	MSTRG.18215
MSTRG.20512	MSTRG.46161
MSTRG.30589	MSTRG.19705
MSTRG.29248	MSTRG.33768
MSTRG.48251	MSTRG.47090
MSTRG.29531	MSTRG.25515
MSTRG.35899	MSTRG.32240
MSTRG.37016	MSTRG.9073
MSTRG.35900	MSTRG.6610
MSTRG.32085	MSTRG.30622
MSTRG.48343	MSTRG.34160
MSTRG.28204	MSTRG.32435
MSTRG.29568	MSTRG.43804
MSTRG.45252	MSTRG.21687
MSTRG.42185	MSTRG.37877
MSTRG.26676	MSTRG.21028
MSTRG.28182	MSTRG.36966
MSTRG.44422	MSTRG.28477
MSTRG.55690	MSTRG.41435
MSTRG.35897	MSTRG.44293
MSTRG.20156	MSTRG.34677
MSTRG.12435	MSTRG.24559
MSTRG.55285	MSTRG.16750
MSTRG.48165	MSTRG.37957
MSTRG.55839	MSTRG.4044
MSTRG.41497	MSTRG.25378
MSTRG.5438	MSTRG.37029
MSTRG.34771	MSTRG.13534
MSTRG.18199	MSTRG.54606
MSTRG.55596	MSTRG.34507
MSTRG.29197	MSTRG.20551
MSTRG.23261	MSTRG.19546
MSTRG.26661	MSTRG.39648
MSTRG.6407	MSTRG.34286
MSTRG.39536	MSTRG.47437
MSTRG.36809	MSTRG.35373
MSTRG.50064	MSTRG.25614
MSTRG.29316	MSTRG.43837
MSTRG.16098	MSTRG.10748
MSTRG.39116	MSTRG.47111
MSTRG.50794	MSTRG.24017
MSTRG.34251	MSTRG.13028
MSTRG.43679	MSTRG.48231
MSTRG.2206	MSTRG.26264
MSTRG.29525	MSTRG.9652
MSTRG.48966	MSTRG.25156
MSTRG.25044	MSTRG.55209
MSTRG.54981	MSTRG.37875
MSTRG.41902	MSTRG.23541
MSTRG.21178	MSTRG.19810
MSTRG.39580	MSTRG.26227
MSTRG.2692	MSTRG.22252
MSTRG.52040	MSTRG.55714
MSTRG.12382	MSTRG.17127
MSTRG.28331	MSTRG.34515
MSTRG.33140	MSTRG.37875
MSTRG.25483	MSTRG.14718
MSTRG.23523	MSTRG.47486
MSTRG.34535	MSTRG.51762
MSTRG.5049	MSTRG.34512
MSTRG.49189	MSTRG.27268
MSTRG.35910	MSTRG.8940
MSTRG.36806	MSTRG.25990
MSTRG.14992	MSTRG.32920
MSTRG.31002	MSTRG.32499
MSTRG.44458	MSTRG.18072
MSTRG.24835	MSTRG.25727
MSTRG.49328	MSTRG.47203
MSTRG.55084	MSTRG.2746
MSTRG.3971	MSTRG.34510
MSTRG.33069	MSTRG.39072
MSTRG.38246	MSTRG.7487
MSTRG.13144	MSTRG.8364
MSTRG.55929	MSTRG.51762
MSTRG.4964	MSTRG.14517
MSTRG.21917	MSTRG.55220
MSTRG.22281	MSTRG.27095
MSTRG.28275	MSTRG.17483
MSTRG.55707	MSTRG.55627
MSTRG.29734	MSTRG.29211
MSTRG.45258	MSTRG.28412
MSTRG.12901	MSTRG.18714
MSTRG.14576	MSTRG.34514
MSTRG.2561	MSTRG.52622
MSTRG.20007	MSTRG.20822
MSTRG.55479	MSTRG.23245
MSTRG.17069	MSTRG.20780
MSTRG.6978	MSTRG.34454
MSTRG.50984	MSTRG.42161
MSTRG.15853	MSTRG.52354
MSTRG.48905	MSTRG.16091
MSTRG.42006	MSTRG.21244
MSTRG.18353	MSTRG.47436
MSTRG.4688	MSTRG.7307
MSTRG.13534	MSTRG.43870
MSTRG.11372	MSTRG.10125
MSTRG.55270	MSTRG.41287
MSTRG.35901	MSTRG.19155
MSTRG.37271	MSTRG.19602
MSTRG.19517	MSTRG.35157
