Ctenocephalides_felis	Siphonaptera
Spodoptera_litura	Lepidoptera
Bombyx_mori	Lepidoptera
Plutella_xylostella	Lepidoptera
Papilio_polytes	Lepidoptera
Amyelois_transitella	Lepidoptera
Pieris_rapae	Lepidoptera
Hyposmocoma_kahamanoa	Lepidoptera
Bicyclus_anynana	Lepidoptera
Papilio_machaon	Lepidoptera
Helicoverpa_armigera	Lepidoptera
Operophtera_brumata	Lepidoptera
Heliothis_virescens	Lepidoptera
Papilio_xuthus	Lepidoptera
Nasonia_vitripennis	Hymenoptera
Apis_mellifera	Hymenoptera
Atta_cephalotes	Hymenoptera
Pogonomyrmex_barbatus	Hymenoptera
Acromyrmex_echinatior	Hymenoptera
Linepithema_humile	Hymenoptera
Megachile_rotundata	Hymenoptera
Cephus_cinctus	Hymenoptera
Athalia_rosae	Hymenoptera
Trichogramma_pretiosum	Hymenoptera
Solenopsis_invicta	Hymenoptera
Harpegnathos_saltator	Hymenoptera
Bombus_impatiens	Hymenoptera
Drosophila_melanogaster	Diptera
Anopheles_gambiae_str._PEST	Diptera
Aedes_aegypti	Diptera
Culex_quinquefasciatus	Diptera
Ceratitis_capitata	Diptera
Musca_domestica	Diptera
Lucilia_cuprina	Diptera
Stomoxys_calcitrans	Diptera
Aedes_albopictus	Diptera
Bactrocera_oleae	Diptera
Rhagoletis_zephyria	Diptera
Zeugodacus_cucurbitae	Diptera
Lutzomyia_longipalpis_Jacobina	Diptera
Phlebotomus_papatasi_Israel	Diptera
Glossina_morsitans_Yale	Diptera
Tribolium_castaneum	Coleoptera
Dendroctonus_ponderosae	Coleoptera
Anoplophora_glabripennis	Coleoptera
Leptinotarsa_decemlineata	Coleoptera
Onthophagus_taurus	Coleoptera
Agrilus_planipennis	Coleoptera
Aethina_tumida	Coleoptera
Nicrophorus_vespilloides	Coleoptera
Oryctes_borbonicus	Coleoptera
