OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL0	1	1	1	1	1	yes	yes	yes	yes	yes	1697	33.27	51
ORTHOMCL1	0	0	1	0	1	no	no	yes	no	yes	60	1.28	47
ORTHOMCL2	1	1	1	1	1	yes	yes	yes	yes	yes	703	13.78	51
ORTHOMCL3	0	0	1	1	1	no	no	yes	yes	yes	681	13.90	49
ORTHOMCL4	1	1	1	1	1	yes	yes	yes	yes	yes	756	14.82	51
ORTHOMCL5	1	1	1	1	1	yes	yes	yes	yes	yes	590	11.57	51
ORTHOMCL6	1	1	1	0	1	yes	yes	yes	no	yes	116	2.32	50
ORTHOMCL7	1	1	1	1	1	yes	yes	yes	yes	yes	332	6.51	51
ORTHOMCL8	0	0	1	1	1	no	no	yes	yes	yes	102	2.32	44
ORTHOMCL9	1	1	1	1	1	yes	yes	yes	yes	yes	475	9.31	51
ORTHOMCL10	1	0	0	1	1	yes	no	no	yes	yes	492	11.18	44
ORTHOMCL11	1	1	1	0	1	yes	yes	yes	no	yes	66	1.38	48
ORTHOMCL12	1	1	1	1	1	yes	yes	yes	yes	yes	431	8.45	51
ORTHOMCL13	1	1	1	1	1	yes	yes	yes	yes	yes	152	2.98	51
ORTHOMCL14	0	1	1	1	1	no	yes	yes	yes	yes	519	11.04	47
ORTHOMCL15	1	1	1	0	1	yes	yes	yes	no	yes	73	1.55	47
ORTHOMCL16	1	0	0	0	1	yes	no	no	no	yes	152	3.62	42
ORTHOMCL17	0	1	0	0	1	no	yes	no	no	yes	69	1.47	47
ORTHOMCL18	1	0	1	0	1	yes	no	yes	no	yes	410	10.51	39
ORTHOMCL19	1	1	1	1	1	yes	yes	yes	yes	yes	319	6.25	51
ORTHOMCL20	1	1	1	1	1	yes	yes	yes	yes	yes	227	4.45	51
ORTHOMCL21	1	1	1	1	1	yes	yes	yes	yes	yes	350	6.86	51
ORTHOMCL22	0	1	1	1	1	no	yes	yes	yes	yes	370	7.40	50
ORTHOMCL23	1	0	0	0	1	yes	no	no	no	yes	68	1.45	47
ORTHOMCL24	1	1	1	1	1	yes	yes	yes	yes	yes	359	7.04	51
ORTHOMCL25	1	1	1	1	1	yes	yes	yes	yes	yes	307	6.02	51
ORTHOMCL26	1	1	1	1	1	yes	yes	yes	yes	yes	277	5.43	51
ORTHOMCL27	1	1	1	1	1	yes	yes	yes	yes	yes	274	5.37	51
ORTHOMCL28	1	1	0	1	1	yes	yes	no	yes	yes	393	8.19	48
ORTHOMCL29	1	1	1	1	1	yes	yes	yes	yes	yes	193	3.78	51
ORTHOMCL30	0	0	0	1	1	no	no	no	yes	yes	377	9.92	38
ORTHOMCL31	0	0	1	1	1	no	no	yes	yes	yes	443	9.63	46
ORTHOMCL32	1	1	0	1	1	yes	yes	no	yes	yes	353	7.06	50
ORTHOMCL33	1	1	1	1	1	yes	yes	yes	yes	yes	291	5.71	51
ORTHOMCL34	1	0	1	1	1	yes	no	yes	yes	yes	392	7.84	50
ORTHOMCL35	1	1	1	1	1	yes	yes	yes	yes	yes	77	1.51	51
ORTHOMCL37	0	0	1	1	1	no	no	yes	yes	yes	277	7.10	39
ORTHOMCL39	1	1	1	1	1	yes	yes	yes	yes	yes	324	6.35	51
ORTHOMCL41	1	1	1	1	1	yes	yes	yes	yes	yes	120	2.35	51
ORTHOMCL42	1	0	1	0	1	yes	no	yes	no	yes	173	3.53	49
ORTHOMCL43	1	1	1	1	1	yes	yes	yes	yes	yes	200	3.92	51
ORTHOMCL44	0	0	1	0	1	no	no	yes	no	yes	398	9.71	41
ORTHOMCL45	0	0	0	1	1	no	no	no	yes	yes	65	2.03	32
ORTHOMCL46	1	1	1	1	1	yes	yes	yes	yes	yes	251	4.92	51
ORTHOMCL47	1	1	0	1	1	yes	yes	no	yes	yes	373	7.94	47
ORTHOMCL48	1	0	0	1	1	yes	no	no	yes	yes	347	7.23	48
ORTHOMCL49	1	1	1	0	1	yes	yes	yes	no	yes	124	2.48	50
ORTHOMCL50	1	1	0	1	1	yes	yes	no	yes	yes	76	1.52	50
ORTHOMCL51	1	0	1	1	1	yes	no	yes	yes	yes	114	2.28	50
ORTHOMCL52	1	1	1	1	1	yes	yes	yes	yes	yes	207	4.06	51
ORTHOMCL53	1	0	1	0	1	yes	no	yes	no	yes	64	1.36	47
ORTHOMCL54	1	1	1	1	1	yes	yes	yes	yes	yes	296	5.80	51
